DATE	TYPE	TeamA	ConfA	TeamB	VenueA	RESULT	ResultA	Scores	split_1	split_2	ScoreA	ScoreB
2020-01-21	C	Western Michigan	MAC	Buffalo	A	L, 90-79	L	90-79	90	79	79	90
2019-11-16	N	Bucknell	Pat	Canisius	A	L, 83-81	L	83-81	83	81	81	83
2019-12-30	N	Canisius	MAAC	Pittsburgh	A	L, 87-79	L	87-79	87	79	79	87
2019-12-21	N	Grand Canyon	WAC	Eastern Illinois	H	W, 85-63	W	85-63	85	63	85	63
2020-01-16	C	Belmont	OVC	Eastern Kentucky	H	W, 87-56	W	87-56	87	56	87	56
2020-02-06	C	Eastern Kentucky	OVC	Eastern Illinois	A	W, 91-84	W	91-84	91	84	91	84
2020-01-16	C	Illinois St.	MVC	Drake	A	L, 84-74	L	84-74	84	74	74	84
2020-02-13	C	Texas St.	SB	Little Rock	H	W, 74-66	W	74-66	74	66	74	66
2020-03-07	CT	Belmont	OVC	Murray St.	N	W, 76-75	W	76-75	76	75	76	75
2019-12-07	N	North Florida	ASun	Austin Peay	A	L, 90-83	L	90-83	90	83	83	90
2020-01-30	C	South Dakota	Sum	Denver	A	W, 93-87	W	93-87	93	87	93	87
2020-03-08	CT	Bradley	MVC	Valparaiso	N	W, 80-66	W	80-66	80	66	80	66
2020-02-26	C	UNLV	MWC	Boise St.	H	W, 76-66	W	76-66	76	66	76	66
2020-01-15	C	Bryant	NEC	Merrimack	A	L, 71-67	L	71-67	71	67	67	71
2020-02-22	C	Delaware St.	MEAC	Coppin St.	A	L, 98-86	L	98-86	98	86	86	98
2020-01-11	C	Loyola Chicago	MVC	Evansville	H	W, 78-44	W	78-44	78	44	78	44
2020-01-30	C	Gonzaga	WCC	Santa Clara	A	W, 87-72	W	87-72	87	72	87	72
2020-01-10	C	Fairfield	MAAC	Manhattan	H	W, 68-60	W	68-60	68	60	68	60
2019-11-10	N	Central Michigan	MAC	Mississippi Valley S	H	W, 134-78	W	134-78	134	78	134	78
2019-11-12	N	Murray St.	OVC	Tennessee	A	L, 82-63	L	82-63	82	63	63	82
2019-11-26	N	New Mexico St.	WAC	South Florida	N	W, 65-45	W	65-45	65	45	65	45
2020-02-08	C	Sam Houston St.	Slnd	Nicholls St.	A	L, 88-82	L	88-82	88	82	82	88
2020-01-25	C	St. Francis NY	NEC	St. Francis PA	H	W, 86-79	W	86-79	86	79	86	79
2020-01-05	C	South Dakota	Sum	Denver	H	W, 80-78	W	80-78	80	78	80	78
2020-01-07	C	Northern Iowa	MVC	Indiana St.	H	W, 68-60	W	68-60	68	60	68	60
2019-11-24	N	San Diego	WCC	Washington	A	L, 88-69	L	88-69	88	69	69	88
2020-02-29	C	Indiana St.	MVC	Valparaiso	H	W, 71-58	W	71-58	71	58	71	58
2019-12-19	N	Wofford	SC	Duke	A	L, 86-57	L	86-57	86	57	57	86
2020-02-15	C	Abilene Christian	Slnd	Texas A&M Corpus Chr	A	W, 78-64	W	78-64	78	64	78	64
2019-12-03	N	Charleston Southern	BSth	Missouri	A	W, 68-60	W	68-60	68	60	68	60
2019-11-30	N	Bowling Green	MAC	Dartmouth	H	W, 76-69	W	76-69	76	69	76	69
2020-02-13	C	Delaware	CAA	Elon	A	W, 81-75	W	81-75	81	75	81	75
2019-11-22	N	Georgia St.	SB	Prairie View A&M	N	W, 83-74	W	83-74	83	74	83	74
2020-01-11	C	Lamar	Slnd	Houston Baptist	A	W, 102-92	W	102-92	102	92	102	92
2020-01-08	C	Colgate	Pat	Loyola MD	H	W, 92-70	W	92-70	92	70	92	70
2020-02-06	C	Milwaukee	Horz	Illinois Chicago	A	W, 74-57	W	74-57	74	57	74	57
2019-12-21	N	Oral Roberts	Sum	Missouri St.	H	W, 82-72	W	82-72	82	72	82	72
2019-11-21	N	New Mexico	MWC	New Mexico St.	A	W, 78-77	W	78-77	78	77	78	77
2020-02-08	C	UAB	CUSA	North Texas	H	L, 71-64	L	71-64	71	64	64	71
2020-01-11	C	McNeese St.	Slnd	Northwestern St.	H	W, 85-76	W	85-76	85	76	85	76
2019-12-18	C	Sam Houston St.	Slnd	Northwestern St.	H	W, 92-79	W	92-79	92	79	92	79
2020-02-26	C	Western Carolina	SC	Samford	H	W, 109-78	W	109-78	109	78	109	78
2019-12-12	N	Wright St.	Horz	Southern	H	W, 85-62	W	85-62	85	62	85	62
2019-12-14	N	Stony Brook	AE	Providence	A	L, 82-78	L	82-78	82	78	78	82
2020-01-25	C	UC Davis	BW	Hawaii	A	L, 76-75	L	76-75	76	75	75	76
2020-01-16	C	UT Arlington	SB	Louisiana Lafayette	A	W, 81-65	W	81-65	81	65	81	65
2020-02-08	C	Hartford	AE	Vermont	H	L, 69-68	L	69-68	69	68	68	69
2020-02-15	C	Western Carolina	SC	Wofford	A	W, 80-74	W	80-74	80	74	80	74
2020-01-18	C	Mount St. Mary's	NEC	Central Connecticut	H	W, 79-52	W	79-52	79	52	79	52
2020-03-03	C	Ball St.	MAC	Central Michigan	H	W, 85-68	W	85-68	85	68	85	68
2020-01-18	C	Northern Kentucky	Horz	Cleveland St.	H	W, 75-49	W	75-49	75	49	75	49
2020-02-08	C	Western Carolina	SC	Furman	H	L, 82-73	L	82-73	82	73	73	82
2020-03-06	C	Kent St.	MAC	Akron	A	L, 79-76	L	79-76	79	76	76	79
2020-02-14	C	Monmouth	MAAC	Canisius	A	W, 85-71	W	85-71	85	71	85	71
2020-01-18	C	Murray St.	OVC	Southeast Missouri S	A	W, 96-91	W	96-91	96	91	96	91
2020-02-13	C	Radford	BSth	Presbyterian	H	W, 81-71	W	81-71	81	71	81	71
2020-02-20	C	Sacramento St.	BSky	Eastern Washington	A	L, 77-76	L	77-76	77	76	76	77
2020-01-15	C	South Dakota	Sum	North Dakota St.	A	L, 72-70	L	72-70	72	70	70	72
2019-12-08	N	Furman	SC	USC Upstate	H	W, 84-72	W	84-72	84	72	84	72
2020-03-05	C	Weber St.	BSky	Idaho	A	W, 72-64	W	72-64	72	64	72	64
2019-12-14	N	Alabama A&M	SWAC	Miami FL	A	L, 88-74	L	88-74	88	74	74	88
2020-01-11	C	Lehigh	Pat	American	H	W, 82-73	W	82-73	82	73	82	73
2019-11-06	N	Illinois St.	MVC	Belmont	H	W, 79-72	W	79-72	79	72	79	72
2020-01-04	C	Norfolk St.	MEAC	Bethune Cookman	H	W, 85-72	W	85-72	85	72	85	72
2020-02-15	C	Bowling Green	MAC	Ball St.	A	W, 77-71	W	77-71	77	71	77	71
2020-01-30	C	College of Charlesto	CAA	James Madison	A	W, 87-68	W	87-68	87	68	87	68
2019-11-12	N	Charlotte	CUSA	Davidson	H	W, 71-58	W	71-58	71	58	71	58
2020-02-08	C	Holy Cross	Pat	Boston University	A	L, 77-68	L	77-68	77	68	68	77
2019-11-13	N	Miami OH	MAC	Fort Wayne	A	W, 84-80	W	84-80	84	80	84	80
2020-01-04	C	Cal Baptist	WAC	New Mexico St.	H	L, 86-71	L	86-71	86	71	71	86
2020-03-07	C	UAB	CUSA	Old Dominion	N	W, 72-63	W	72-63	72	63	72	63
2020-01-13	C	Montana	BSky	Portland St.	H	W, 85-70	W	85-70	85	70	85	70
2019-12-29	C	South Dakota St.	Sum	Nebraska Omaha	A	L, 81-78	L	81-78	81	78	78	81
2019-12-20	N	Northern Colorado	BSky	South Dakota	N	W, 87-68	W	87-68	87	68	87	68
2020-03-10	CT	Robert Morris	NEC	St. Francis PA	H	W, 77-67	W	77-67	77	67	77	67
2020-02-29	C	Tennessee Tech	OVC	Jacksonville St.	A	L, 75-71	L	75-71	75	71	71	75
2020-02-09	C	Valparaiso	MVC	Loyola Chicago	A	L, 70-68	L	70-68	70	68	68	70
2020-02-08	C	Vermont	AE	Hartford	A	W, 69-68	W	69-68	69	68	69	68
2020-01-06	C	Alcorn St.	SWAC	Texas Southern	A	W, 95-80	W	95-80	95	80	95	80
2019-11-26	N	East Tennessee St.	SC	Appalachian St.	H	W, 78-69	W	78-69	78	69	78	69
2020-02-01	C	Army	Pat	Lehigh	A	W, 80-79	W	80-79	80	79	80	79
2019-11-05	N	Coastal Carolina	SB	Campbell	H	L, 75-74	L	75-74	75	74	74	75
2020-01-09	C	LIU Brooklyn	NEC	Central Connecticut	H	W, 90-78	W	90-78	90	78	90	78
2019-11-23	N	College of Charlesto	CAA	UCF	A	L, 72-71	L	72-71	72	71	71	72
2020-01-30	C	Eastern Illinois	OVC	Murray St.	A	L, 73-70	L	73-70	73	70	70	73
2019-11-17	N	Arkansas St.	SB	Idaho	H	W, 82-68	W	82-68	82	68	82	68
2019-11-05	N	Cal Baptist	WAC	Jackson St.	H	W, 93-70	W	93-70	93	70	93	70
2019-12-22	N	UMKC	WAC	South Dakota	A	W, 78-75	W	78-75	78	75	78	75
2019-11-19	N	Bucknell	Pat	Penn St.	A	L, 98-70	L	98-70	98	70	70	98
2020-01-29	C	Samford	SC	Chattanooga	H	L, 92-84	L	92-84	92	84	84	92
2019-11-27	N	Colorado St.	MWC	Washington St.	N	W, 79-69	W	79-69	79	69	79	69
2020-01-04	C	Elon	CAA	Hofstra	A	L, 102-75	L	102-75	102	75	75	102
2020-02-22	C	Elon	CAA	Towson	A	L, 84-71	L	84-71	84	71	71	84
2019-11-30	N	North Dakota	Sum	Georgia Southern	N	W, 80-68	W	80-68	80	68	80	68
2020-02-10	C	Gardner Webb	BSth	High Point	H	W, 86-55	W	86-55	86	55	86	55
2019-11-13	N	Lafayette	Pat	Princeton	A	W, 72-65	W	72-65	72	65	72	65
2020-02-08	C	Middle Tennessee	CUSA	Rice	H	L, 91-83	L	91-83	91	83	83	91
2020-01-16	C	Northern Colorado	BSky	Sacramento St.	H	W, 71-52	W	71-52	71	52	71	52
2019-12-30	C	Portland St.	BSky	Southern Utah	H	L, 83-81	L	83-81	83	81	81	83
2020-02-15	C	Presbyterian	BSth	Winthrop	H	L, 89-88	L	89-88	89	88	88	89
2020-02-01	C	Alcorn St.	SWAC	Southern	A	L, 93-82	L	93-82	93	82	82	93
2019-12-30	C	IUPUI	Horz	Cleveland St.	H	L, 82-80	L	82-80	82	80	80	82
2019-12-07	N	Loyola Marymount	WCC	Grambling St.	H	W, 83-67	W	83-67	83	67	83	67
2020-02-12	C	Northern Iowa	MVC	Illinois St.	H	W, 71-63	W	71-63	71	63	71	63
2019-12-21	N	UTSA	CUSA	Illinois St.	H	W, 89-70	W	89-70	89	70	89	70
2020-02-22	C	Western Illinois	Sum	Nebraska Omaha	H	L, 93-86	L	93-86	93	86	86	93
2019-11-12	N	Northeastern	CAA	Massachusetts	A	L, 80-71	L	80-71	80	71	71	80
2020-01-04	C	Portland	WCC	San Francisco	H	W, 76-65	W	76-65	76	65	76	65
2020-03-03	C	Stephen F. Austin	Slnd	Abilene Christian	A	W, 77-72	W	77-72	77	72	77	72
2020-01-16	C	Arkansas St.	SB	Appalachian St.	A	L, 83-80	L	83-80	83	80	80	83
2020-01-19	C	Maine	AE	Binghamton	H	W, 86-63	W	86-63	86	63	86	63
2020-01-16	C	Charlotte	CUSA	Marshall	A	W, 77-75	W	77-75	77	75	77	75
2020-02-13	C	Oakland	Horz	Cleveland St.	H	W, 79-74	W	79-74	79	74	79	74
2019-12-31	C	Bradley	MVC	Drake	H	W, 80-72	W	80-72	80	72	80	72
2020-02-08	C	Louisiana Lafayette	SB	Georgia Southern	H	L, 86-79	L	86-79	86	79	79	86
2020-02-15	C	Grambling St.	SWAC	Prairie View A&M	A	L, 75-69	L	75-69	75	69	69	75
2019-12-03	N	Loyola Chicago	MVC	Ball St.	A	W, 70-58	W	70-58	70	58	70	58
2019-11-20	N	Northern Illinois	MAC	Western Illinois	A	W, 86-81	W	86-81	86	81	86	81
2020-03-07	C	Southern	SWAC	Prairie View A&M	H	W, 89-80	W	89-80	89	80	89	80
2020-01-16	C	Presbyterian	BSth	Longwood	A	W, 74-67	W	74-67	74	67	74	67
2020-01-19	C	Rider	MAAC	Canisius	A	L, 95-86	L	95-86	95	86	86	95
2019-11-23	N	Sam Houston St.	Slnd	San Francisco	A	L, 90-81	L	90-81	90	81	81	90
2020-01-18	C	Southern	SWAC	Arkansas Pine Bluff	A	W, 75-56	W	75-56	75	56	75	56
2019-11-07	N	UAB	CUSA	Troy	A	W, 76-75	W	76-75	76	75	76	75
2020-02-21	C	Cornell	Ivy	Yale	H	L, 81-80	L	81-80	81	80	80	81
2019-11-22	N	Cal Baptist	WAC	Central Arkansas	H	W, 104-98	W	104-98	104	98	104	98
2020-03-06	C	Princeton	Ivy	Columbia	H	W, 81-58	W	81-58	81	58	81	58
2019-11-19	N	Delaware	CAA	St. Francis PA	A	W, 79-64	W	79-64	79	64	79	64
2020-03-08	CT	Elon	CAA	William & Mary	N	W, 68-63	W	68-63	68	63	68	63
2019-12-11	N	Saint Peter's	MAAC	Fairleigh Dickinson	H	W, 86-70	W	86-70	86	70	86	70
2020-01-25	C	Jacksonville	ASun	Kennesaw St.	A	W, 83-64	W	83-64	83	64	83	64
2020-03-10	CT	Hofstra	CAA	Northeastern	N	W, 70-61	W	70-61	70	61	70	61
2019-11-29	N	San Francisco	WCC	Hawaii	A	L, 85-75	L	85-75	85	75	75	85
2019-12-01	N	Fairfield	MAAC	Texas A&M	N	W, 67-62	W	67-62	67	62	67	62
2020-01-02	N	Vermont	AE	Dartmouth	A	W, 77-68	W	77-68	77	68	77	68
2020-03-07	CT	Albany	AE	Stony Brook	A	L, 76-73	L	76-73	76	73	73	76
2019-12-14	N	Army	Pat	Buffalo	A	W, 89-76	W	89-76	89	76	89	76
2020-03-09	CT	Hofstra	CAA	Delaware	N	W, 75-61	W	75-61	75	61	75	61
2020-02-16	C	Nebraska Omaha	Sum	Denver	H	W, 85-62	W	85-62	85	62	85	62
2020-02-22	C	Eastern Michigan	MAC	Ball St.	A	L, 64-55	L	64-55	64	55	55	64
2019-11-18	N	Texas St.	SB	Jackson St.	H	W, 73-58	W	73-58	73	58	73	58
2020-01-20	C	Wagner	NEC	LIU Brooklyn	H	W, 72-64	W	72-64	72	64	72	64
2020-02-29	C	Little Rock	SB	Louisiana Lafayette	H	W, 91-69	W	91-69	91	69	91	69
2019-12-01	N	Saint Mary's	WCC	Nebraska Omaha	H	W, 75-66	W	75-66	75	66	75	66
2020-02-20	C	Oral Roberts	Sum	Denver	A	L, 100-96	L	100-96	100	96	96	100
2020-02-15	C	Sacred Heart	NEC	LIU Brooklyn	A	W, 80-72	W	80-72	80	72	80	72
2020-02-01	C	Texas Southern	SWAC	Alabama A&M	A	W, 82-73	W	82-73	82	73	82	73
2019-12-21	N	San Francisco	WCC	UC Davis	H	W, 93-84	W	93-84	93	84	93	84
2020-02-27	C	UC Irvine	BW	Cal Poly	A	W, 82-76	W	82-76	82	76	82	76
2019-11-16	N	American	Pat	St. Francis PA	A	L, 79-76	L	79-76	79	76	76	79
2020-02-21	C	Kent St.	MAC	Buffalo	H	L, 104-98	L	104-98	104	98	98	104
2020-02-15	C	Dartmouth	Ivy	Cornell	H	W, 75-53	W	75-53	75	53	75	53
2019-11-30	N	East Tennessee St.	SC	Little Rock	A	W, 67-63	W	67-63	67	63	67	63
2020-01-04	C	Belmont	OVC	Eastern Illinois	H	W, 87-55	W	87-55	87	55	87	55
2020-03-01	C	Monmouth	MAAC	Manhattan	H	W, 80-60	W	80-60	80	60	80	60
2020-02-27	C	UAB	CUSA	Marshall	H	W, 88-80	W	88-80	88	80	88	80
2020-02-26	C	Nicholls St.	Slnd	Houston Baptist	A	W, 93-85	W	93-85	93	85	93	85
2019-11-12	N	Pepperdine	WCC	Cal St. Northridge	A	W, 94-82	W	94-82	94	82	94	82
2020-01-27	C	Northern Arizona	BSky	Sacramento St.	H	W, 69-54	W	69-54	69	54	69	54
2020-02-15	C	Oral Roberts	Sum	South Dakota	H	W, 94-80	W	94-80	94	80	94	80
2020-03-05	C	Montana St.	BSky	Southern Utah	H	W, 73-65	W	73-65	73	65	73	65
2019-11-26	N	Stephen F. Austin	Slnd	Duke	A	W, 85-83	W	85-83	85	83	85	83
2019-12-28	N	Texas Southern	SWAC	Arizona St.	A	L, 98-81	L	98-81	98	81	81	98
2019-12-04	N	Towson	CAA	Morgan St.	A	W, 76-59	W	76-59	76	59	76	59
2019-11-29	N	UC Davis	BW	Utah	A	L, 77-73	L	77-73	77	73	73	77
2020-01-16	C	William & Mary	CAA	Delaware	A	W, 77-68	W	77-68	77	68	77	68
2019-11-10	N	Winthrop	BSth	Fresno St.	A	L, 77-74	L	77-74	77	74	74	77
2020-02-08	C	Yale	Ivy	Dartmouth	H	W, 75-57	W	75-57	75	57	75	57
2020-02-14	C	South Dakota St.	Sum	Denver	H	W, 90-78	W	90-78	90	78	90	78
2020-01-30	C	Murray St.	OVC	Eastern Illinois	H	W, 73-70	W	73-70	73	70	73	70
2019-11-24	N	South Dakota St.	Sum	Mississippi Valley S	H	W, 84-54	W	84-54	84	54	84	54
2019-11-24	N	Morgan St.	MEAC	Evansville	N	L, 115-112	L	115-112	115	112	112	115
2020-03-03	CT	North Alabama	ASun	Stetson	A	L, 82-72	L	82-72	82	72	72	82
2020-02-20	C	Denver	Sum	Oral Roberts	H	W, 100-96	W	100-96	100	96	100	96
2020-01-26	C	UNLV	MWC	San Diego St.	H	L, 71-67	L	71-67	71	67	67	71
2019-12-19	N	Southern Utah	BSky	Long Beach St.	A	W, 84-63	W	84-63	84	63	84	63
2020-02-15	C	Utah St.	MWC	Fresno St.	A	W, 71-59	W	71-59	71	59	71	59
2019-11-29	N	Utah St.	MWC	Saint Mary's	A	L, 81-73	L	81-73	81	73	73	81
2020-01-20	N	Yale	Ivy	Howard	A	W, 89-75	W	89-75	89	75	89	75
2019-11-20	N	Austin Peay	OVC	Vanderbilt	A	L, 90-72	L	90-72	90	72	72	90
2019-11-09	N	Austin Peay	OVC	Western Kentucky	A	L, 97-75	L	97-75	97	75	75	97
2020-01-30	C	Cal St. Fullerton	BW	Cal Poly	A	L, 101-100	L	101-100	101	100	100	101
2020-01-18	C	Vermont	AE	Hartford	H	W, 74-57	W	74-57	74	57	74	57
2020-03-07	C	Idaho St.	BSky	Idaho	A	L, 80-76	L	80-76	80	76	76	80
2019-12-01	N	Air Force	MWC	Jackson St.	H	W, 76-52	W	76-52	76	52	76	52
2020-01-04	C	Miami OH	MAC	Central Michigan	A	L, 93-82	L	93-82	93	82	82	93
2020-01-04	C	Northern Colorado	BSky	Montana	H	W, 74-66	W	74-66	74	66	74	66
2019-11-24	N	Evansville	MVC	Morgan St.	N	W, 115-112	W	115-112	115	112	115	112
2020-03-11	CT	FIU	CUSA	Rice	N	W, 85-76	W	85-76	85	76	85	76
2020-01-20	C	North Texas	CUSA	Rice	H	W, 79-59	W	79-59	79	59	79	59
2020-02-02	C	Monmouth	MAAC	Rider	H	W, 90-84	W	90-84	90	84	90	84
2020-02-15	C	Air Force	MWC	San Jose St.	H	W, 95-86	W	95-86	95	86	95	86
2020-03-07	CT	Hartford	AE	UMass Lowell	H	W, 89-75	W	89-75	89	75	89	75
2020-03-08	CT	Chattanooga	SC	Wofford	N	L, 72-70	L	72-70	72	70	70	72
2019-12-22	N	Wofford	SC	Kennesaw St.	A	W, 83-70	W	83-70	83	70	83	70
2019-11-19	N	Sacred Heart	NEC	Brown	H	W, 84-63	W	84-63	84	63	84	63
2020-02-29	C	BYU	WCC	Pepperdine	A	W, 81-64	W	81-64	81	64	81	64
2020-02-06	C	BYU	WCC	Portland	A	W, 85-54	W	85-54	85	54	85	54
2020-01-30	C	Charlotte	CUSA	Louisiana Tech	A	L, 72-59	L	72-59	72	59	59	72
2020-02-08	C	Georgia Southern	SB	Louisiana Lafayette	A	W, 86-79	W	86-79	86	79	86	79
2019-11-17	N	Georgia St.	SB	Georgetown	A	L, 91-83	L	91-83	91	83	83	91
2020-01-16	C	Grand Canyon	WAC	Chicago St.	A	W, 76-64	W	76-64	76	64	76	64
2019-11-26	N	Houston Baptist	Slnd	Houston	A	L, 112-73	L	112-73	112	73	73	112
2019-11-20	N	James Madison	CAA	Old Dominion	A	W, 80-78	W	80-78	80	78	80	78
2019-11-13	N	Niagara	MAAC	Stephen F. Austin	A	L, 89-80	L	89-80	89	80	80	89
2020-01-06	C	Norfolk St.	MEAC	Coppin St.	A	W, 82-59	W	82-59	82	59	82	59
2020-02-06	C	North Texas	CUSA	Middle Tennessee	A	W, 75-70	W	75-70	75	70	75	70
2020-02-08	C	Oral Roberts	Sum	North Dakota St.	A	L, 83-76	L	83-76	83	76	76	83
2020-02-27	C	San Francisco	WCC	Portland	H	W, 81-65	W	81-65	81	65	81	65
2019-12-14	N	Princeton	Ivy	Fairleigh Dickinson	A	W, 80-65	W	80-65	80	65	80	65
2019-11-16	N	Rice	CUSA	UC Santa Barbara	A	W, 82-81	W	82-81	82	81	82	81
2020-01-11	C	Central Arkansas	Slnd	Sam Houston St.	H	W, 89-82	W	89-82	89	82	89	82
2019-12-08	N	USC Upstate	BSth	Furman	A	L, 84-72	L	84-72	84	72	72	84
2019-12-18	N	High Point	BSth	Valparaiso	H	L, 87-72	L	87-72	87	72	72	87
2020-01-09	C	Central Connecticut	NEC	LIU Brooklyn	A	L, 90-78	L	90-78	90	78	78	90
2019-12-21	C	Coastal Carolina	SB	South Alabama	A	W, 81-69	W	81-69	81	69	81	69
2020-02-01	C	Towson	CAA	College of Charlesto	H	L, 79-70	L	79-70	79	70	70	79
2019-11-09	N	Wofford	SC	High Point	H	W, 89-61	W	89-61	89	61	89	61
2020-03-08	CT	Liberty	ASun	Lipscomb	H	W, 73-57	W	73-57	73	57	73	57
2020-01-16	C	North Texas	CUSA	Southern Miss	A	W, 72-52	W	72-52	72	52	72	52
2020-02-29	C	Western Michigan	MAC	Northern Illinois	H	W, 72-69	W	72-69	72	69	72	69
2020-02-28	C	Princeton	Ivy	Brown	A	W, 71-49	W	71-49	71	49	71	49
2019-11-16	N	UC Santa Barbara	BW	Rice	H	L, 82-81	L	82-81	82	81	81	82
2020-02-01	C	Sacred Heart	NEC	St. Francis NY	A	W, 83-76	W	83-76	83	76	83	76
2020-01-09	C	Tennessee Martin	OVC	Tennessee St.	H	W, 87-74	W	87-74	87	74	87	74
2019-11-07	N	Troy	SB	UAB	H	L, 76-75	L	76-75	76	75	75	76
2019-11-13	N	UNC Asheville	BSth	Wake Forest	A	L, 98-79	L	98-79	98	79	79	98
2020-02-01	C	UNLV	MWC	Colorado St.	A	L, 95-77	L	95-77	95	77	77	95
2020-01-15	C	Furman	SC	Western Carolina	H	W, 83-79	W	83-79	83	79	83	79
2020-02-27	C	Winthrop	BSth	USC Upstate	A	W, 90-82	W	90-82	90	82	90	82
2020-03-07	CT	Wofford	SC	Furman	N	W, 77-68	W	77-68	77	68	77	68
2019-12-19	C	South Alabama	SB	Appalachian St.	H	L, 81-71	L	81-71	81	71	71	81
2020-01-11	C	Boston University	Pat	Army	H	W, 81-59	W	81-59	81	59	81	59
2020-03-06	C	Buffalo	MAC	Bowling Green	A	W, 88-84	W	88-84	88	84	88	84
2019-12-14	N	Eastern Kentucky	OVC	Louisville	A	L, 99-67	L	99-67	99	67	67	99
2019-11-26	N	Portland St.	BSky	Grambling St.	N	W, 84-74	W	84-74	84	74	84	74
2020-02-06	C	Western Kentucky	CUSA	Louisiana Tech	H	W, 65-54	W	65-54	65	54	65	54
2019-12-08	N	Toledo	MAC	Marshall	H	W, 82-72	W	82-72	82	72	82	72
2020-01-16	C	Florida Atlantic	CUSA	Middle Tennessee	H	W, 97-94	W	97-94	97	94	97	94
2019-12-10	N	Milwaukee	Horz	Kansas	A	L, 95-68	L	95-68	95	68	68	95
2019-12-07	N	Austin Peay	OVC	North Florida	H	W, 90-83	W	90-83	90	83	90	83
2020-01-30	C	UC Irvine	BW	UC Davis	A	W, 80-65	W	80-65	80	65	80	65
2020-01-18	C	Utah St.	MWC	Boise St.	A	L, 88-83	L	88-83	88	83	83	88
2020-02-27	C	Youngstown St.	Horz	Green Bay	A	L, 102-92	L	102-92	102	92	92	102
2019-12-04	N	San Francisco	WCC	California	H	W, 76-64	W	76-64	76	64	76	64
2020-01-04	C	Chattanooga	SC	Mercer	A	W, 70-61	W	70-61	70	61	70	61
2019-11-24	N	Lafayette	Pat	Fairleigh Dickinson	H	W, 80-75	W	80-75	80	75	80	75
2019-12-11	N	Fairleigh Dickinson	NEC	Saint Peter's	A	L, 86-70	L	86-70	86	70	70	86
2019-12-22	N	New Mexico	MWC	Houston Baptist	H	W, 107-88	W	107-88	107	88	107	88
2020-02-01	C	McNeese St.	Slnd	Lamar	H	L, 96-91	L	96-91	96	91	91	96
2020-03-07	CT	UMBC	AE	New Hampshire	H	W, 73-67	W	73-67	73	67	73	67
2020-01-01	C	San Jose St.	MWC	New Mexico	H	W, 88-85	W	88-85	88	85	88	85
2020-01-17	C	Niagara	MAAC	Rider	H	W, 70-68	W	70-68	70	68	70	68
2020-02-06	C	UC Irvine	BW	UC Davis	H	W, 83-72	W	83-72	83	72	83	72
2020-02-15	C	Wagner	NEC	Merrimack	A	L, 68-59	L	68-59	68	59	59	68
2020-01-07	C	Akron	MAC	Western Michigan	H	W, 84-69	W	84-69	84	69	84	69
2019-12-17	N	South Alabama	SB	Alabama A&M	H	W, 89-79	W	89-79	89	79	89	79
2020-03-03	C	Arkansas St.	SB	Georgia Southern	A	W, 76-75	W	76-75	76	75	76	75
2019-12-14	N	Colgate	Pat	Cincinnati	A	W, 67-66	W	67-66	67	66	67	66
2019-12-15	N	UMBC	AE	Coppin St.	H	W, 86-77	W	86-77	86	77	86	77
2019-12-04	N	Eastern Washington	BSky	Washington	A	L, 90-80	L	90-80	90	80	80	90
2020-02-29	C	William & Mary	CAA	Elon	H	W, 86-79	W	86-79	86	79	86	79
2020-01-08	C	Furman	SC	Chattanooga	A	W, 73-66	W	73-66	73	66	73	66
2019-11-27	N	Gardner Webb	BSth	Northern Colorado	N	W, 67-62	W	67-62	67	62	67	62
2020-02-22	C	Grand Canyon	WAC	Utah Valley	A	L, 92-80	L	92-80	92	80	80	92
2019-11-29	N	Florida Atlantic	CUSA	Holy Cross	H	W, 87-69	W	87-69	87	69	87	69
2020-01-22	C	Bradley	MVC	Illinois St.	H	W, 75-63	W	75-63	75	63	75	63
2019-11-24	N	LIU Brooklyn	NEC	Texas Tech	A	L, 96-66	L	96-66	96	66	66	96
2020-02-15	C	Murray St.	OVC	Morehead St.	H	W, 85-57	W	85-57	85	57	85	57
2019-12-18	N	UNLV	MWC	Pacific	H	L, 74-66	L	74-66	74	66	66	74
2020-02-08	C	Charlotte	CUSA	UTSA	H	W, 91-84	W	91-84	91	84	91	84
2020-03-05	CT	Air Force	MWC	San Diego St.	N	L, 73-60	L	73-60	73	60	60	73
2020-01-14	C	Akron	MAC	Northern Illinois	A	W, 72-49	W	72-49	72	49	72	49
2019-12-21	N	North Texas	CUSA	Arkansas Pine Bluff	H	W, 86-53	W	86-53	86	53	86	53
2020-01-30	C	Tennessee Tech	OVC	Belmont	H	L, 92-84	L	92-84	92	84	84	92
2020-01-18	C	Delaware	CAA	Elon	H	W, 79-78	W	79-78	79	78	79	78
2019-11-24	N	Fairleigh Dickinson	NEC	Lafayette	A	L, 80-75	L	80-75	80	75	75	80
2020-02-29	C	Fairleigh Dickinson	NEC	Mount St. Mary's	A	W, 83-77	W	83-77	83	77	83	77
2019-11-09	N	Holy Cross	Pat	New Hampshire	A	L, 87-83	L	87-83	87	83	83	87
2020-02-01	C	Missouri St.	MVC	Indiana St.	H	L, 78-68	L	78-68	78	68	68	78
2020-01-29	C	Lafayette	Pat	Colgate	A	W, 80-78	W	80-78	80	78	80	78
2020-01-30	C	Louisiana Lafayette	SB	UT Arlington	A	W, 66-65	W	66-65	66	65	66	65
