DATE	TYPE	TeamA	ConfA	TeamB	VenueA	RESULT	ResultA	Scores	split_1	split_2	ScoreA	ScoreB
2021-02-02	C	Baylor	B12	Texas	A	W, 83-69	W	83-69	83	69	83	69
2021-01-09	C	Ohio St.	B10	Rutgers	A	W, 79-68	W	79-68	79	68	79	68
2021-01-09	C	Creighton	BE	St. John's	H	W, 97-79	W	97-79	97	79	97	79
2021-02-22	C	Duke	ACC	Syracuse	H	W, 85-71	W	85-71	85	71	85	71
2021-03-12	CT	Colorado	P12	USC	N	W, 72-70	W	72-70	72	70	72	70
2021-03-12	CT	Alabama	SEC	Mississippi St.	N	W, 85-48	W	85-48	85	48	85	48
2021-02-20	C	Georgia Tech	ACC	Miami FL	A	W, 87-60	W	87-60	87	60	87	60
2021-02-02	C	Iowa	B10	Michigan St.	H	W, 84-78	W	84-78	84	78	84	78
2020-12-08	N	Penn St.	B10	Virginia Tech	A	W, 75-55	W	75-55	75	55	75	55
2021-02-18	C	Iowa	B10	Wisconsin	A	W, 77-62	W	77-62	77	62	77	62
2021-03-29	T	Baylor	B12	Arkansas	N	W, 81-72	W	81-72	81	72	81	72
2021-01-18	C	Baylor	B12	Kansas	H	W, 77-69	W	77-69	77	69	77	69
2020-12-08	N	Notre Dame	ACC	Ohio St.	H	L, 90-85	L	90-85	90	85	85	90
2020-12-30	N	Baylor	B12	Alcorn St.	H	W, 105-76	W	105-76	105	76	105	76
2021-01-20	C	Washington	P12	Colorado	H	W, 84-80	W	84-80	84	80	84	80
2020-12-23	C	Villanova	BE	Marquette	A	W, 85-68	W	85-68	85	68	85	68
2020-12-31	C	Michigan	B10	Maryland	A	W, 84-73	W	84-73	84	73	84	73
2020-12-29	C	Iowa	B10	Northwestern	H	W, 87-72	W	87-72	87	72	87	72
2020-11-29	N	Louisville	ACC	Prairie View A&M	H	W, 86-64	W	86-64	86	64	86	64
2021-03-13	CT	Texas	B12	Oklahoma St.	N	W, 91-86	W	91-86	91	86	91	86
2020-12-14	C	Creighton	BE	Marquette	H	L, 89-84	L	89-84	89	84	84	89
2021-03-19	T	West Virginia	B12	Morehead St.	N	W, 84-67	W	84-67	84	67	84	67
2020-12-25	C	Iowa	B10	Minnesota	A	L, 102-95	L	102-95	102	95	95	102
2021-03-27	P	Memphis	Amer	Colorado St.	N	W, 90-67	W	90-67	90	67	90	67
2021-02-24	C	Florida St.	ACC	Miami FL	A	W, 88-71	W	88-71	88	71	88	71
2021-01-30	N	Tennessee	SEC	Kansas	H	W, 80-61	W	80-61	80	61	80	61
2021-02-20	C	North Carolina	ACC	Louisville	H	W, 99-54	W	99-54	99	54	99	54
2021-03-11	CT	Creighton	BE	Butler	N	W, 87-56	W	87-56	87	56	87	56
2021-03-22	T	Maryland	B10	Alabama	N	L, 96-77	L	96-77	96	77	77	96
2021-01-09	C	Texas Tech	B12	Iowa St.	A	W, 91-64	W	91-64	91	64	91	64
2021-03-12	CT	Ohio St.	B10	Purdue	N	W, 87-78	W	87-78	87	78	87	78
2021-01-30	C	Duke	ACC	Clemson	H	W, 79-53	W	79-53	79	53	79	53
2021-03-22	T	USC	P12	Kansas	N	W, 85-51	W	85-51	85	51	85	51
2021-02-06	C	West Virginia	B12	Kansas	H	W, 91-79	W	91-79	91	79	91	79
2021-03-13	CT	Oregon St.	P12	Colorado	N	W, 70-68	W	70-68	70	68	70	68
2021-03-01	C	Oregon	P12	Arizona	H	W, 80-69	W	80-69	80	69	80	69
2021-02-10	C	Mississippi	SEC	Missouri	H	W, 80-59	W	80-59	80	59	80	59
2021-02-09	C	Texas	B12	Kansas St.	A	W, 80-77	W	80-77	80	77	80	77
2021-03-07	C	Iowa	B10	Wisconsin	H	W, 77-73	W	77-73	77	73	77	73
2021-01-30	C	Villanova	BE	Seton Hall	A	W, 80-72	W	80-72	80	72	80	72
2021-02-04	C	Ohio St.	B10	Iowa	A	W, 89-85	W	89-85	89	85	89	85
2020-12-29	C	Purdue	B10	Rutgers	A	L, 81-76	L	81-76	81	76	76	81
2021-02-10	C	Iowa	B10	Rutgers	H	W, 79-66	W	79-66	79	66	79	66
2021-01-19	C	Michigan	B10	Maryland	H	W, 87-63	W	87-63	87	63	87	63
2021-01-23	C	Auburn	SEC	South Carolina	A	W, 109-86	W	109-86	109	86	109	86
2021-03-02	C	Baylor	B12	West Virginia	A	W, 94-89	W	94-89	94	89	94	89
2021-01-09	C	UCLA	P12	Arizona	A	W, 81-76	W	81-76	81	76	81	76
2021-03-06	C	Virginia	ACC	Louisville	A	W, 68-58	W	68-58	68	58	68	58
2020-12-30	C	Arkansas	SEC	Auburn	A	W, 97-85	W	97-85	97	85	97	85
2020-11-30	N	Davidson	A10	Texas	N	L, 78-76	L	78-76	78	76	76	78
2021-01-16	C	Pittsburgh	ACC	Syracuse	H	W, 96-76	W	96-76	96	76	96	76
2021-03-20	T	UCLA	P12	BYU	N	W, 73-62	W	73-62	73	62	73	62
2020-12-23	C	Penn St.	B10	Illinois	H	L, 98-81	L	98-81	98	81	81	98
2021-03-27	P	Mississippi St.	SEC	Louisiana Tech	N	W, 84-62	W	84-62	84	62	84	62
2021-03-22	T	Oregon	P12	Iowa	N	W, 95-80	W	95-80	95	80	95	80
2021-01-23	C	Florida	SEC	Georgia	A	W, 92-84	W	92-84	92	84	92	84
2021-03-21	T	Baylor	B12	Wisconsin	N	W, 76-63	W	76-63	76	63	76	63
2020-12-02	N	Baylor	B12	Illinois	N	W, 82-69	W	82-69	82	69	82	69
2020-12-19	N	UCF	Amer	Florida St.	A	W, 86-74	W	86-74	86	74	86	74
2020-12-20	C	St. John's	BE	Georgetown	H	W, 94-83	W	94-83	94	83	94	83
2021-02-06	C	Arizona	P12	Colorado	A	L, 82-79	L	82-79	82	79	79	82
2020-12-05	N	Saint Louis	A10	Arkansas Pine Bluff	H	W, 107-54	W	107-54	107	54	107	54
2021-02-06	C	Notre Dame	ACC	Georgia Tech	A	L, 82-80	L	82-80	82	80	80	82
2021-03-04	CT	Dayton	A10	Rhode Island	N	W, 84-72	W	84-72	84	72	84	72
2021-01-02	N	Wichita St.	Amer	Mississippi	A	W, 83-79	W	83-79	83	79	83	79
2020-12-25	C	Wisconsin	B10	Michigan St.	A	W, 85-76	W	85-76	85	76	85	76
2021-02-25	C	Colorado	P12	USC	H	W, 80-62	W	80-62	80	62	80	62
2021-01-06	C	Creighton	BE	Seton Hall	H	W, 89-53	W	89-53	89	53	89	53
2021-01-25	C	Texas Tech	B12	West Virginia	A	L, 88-87	L	88-87	88	87	87	88
2021-02-17	C	USC	P12	Arizona St.	H	W, 89-71	W	89-71	89	71	89	71
2021-03-04	C	Iowa	B10	Nebraska	H	W, 102-64	W	102-64	102	64	102	64
2021-02-23	C	Michigan St.	B10	Illinois	H	W, 81-72	W	81-72	81	72	81	72
2021-01-18	C	Florida St.	ACC	Louisville	A	W, 78-65	W	78-65	78	65	78	65
2021-02-20	C	Illinois	B10	Minnesota	A	W, 94-63	W	94-63	94	63	94	63
