start_date,home_team,home_points,away_team,away_points
2021-08-28T17:20:00.000Z,Illinois,30,Nebraska,22
2021-08-28T18:00:00.000Z,Fresno State,45,Connecticut,0
2021-08-28T19:00:00.000Z,Central State,6,Kentucky State,20
2021-08-28T19:30:00.000Z,UCLA,44,Hawai'i,10
2021-08-28T22:00:00.000Z,Indiana State,26,Eastern Illinois,21
2021-08-28T23:00:00.000Z,North Carolina Central,23,Alcorn State,14
2021-08-29T01:30:00.000Z,New Mexico State,3,UTEP,30
2021-08-29T02:00:00.000Z,San José State,45,Southern Utah,14
2021-09-01T23:30:00.000Z,Jacksonville State,0,UAB,31
2021-09-02T22:00:00.000Z,Stony Brook,21,New Hampshire,27
2021-09-02T22:00:00.000Z,Wingate,30,Shaw,7
2021-09-02T22:00:00.000Z,Wayne State (MI),21,Slippery Rock,24
2021-09-02T23:00:00.000Z,Upper Iowa,14,Minnesota-Duluth,41
2021-09-02T23:00:00.000Z,Mars Hill,24,Chowan,30
2021-09-02T23:00:00.000Z,Samford,52,Tennessee Tech,14
2021-09-02T23:00:00.000Z,Maine,24,Delaware,34
2021-09-02T23:00:00.000Z,UCF,36,Boise State,31
2021-09-02T23:00:00.000Z,West Liberty,6,Walsh,27
2021-09-02T23:00:00.000Z,Arkansas-Monticello,30,Southern Nazarene,23
2021-09-02T23:00:00.000Z,Arkansas Tech,20,Southeastern Oklahoma,38
2021-09-02T23:00:00.000Z,Fairmont State,14,California (PA),23
2021-09-02T23:00:00.000Z,Mercer,69,Point University,0
2021-09-02T23:00:00.000Z,Drake,45,WV Wesleyan,3
2021-09-02T23:00:00.000Z,Youngstown State,44,Incarnate Word,41
2021-09-02T23:00:00.000Z,Wayne State (NE),34,University of Mary,27
2021-09-02T23:00:00.000Z,Kentucky Wesleyan,13,Frostburg State,20
2021-09-02T23:00:00.000Z,Ball State,31,Western Illinois,21
2021-09-02T23:00:00.000Z,Northwood (MI),21,Gannon,28
2021-09-02T23:00:00.000Z,Delta State,48,Bethel (TN),14
2021-09-02T23:00:00.000Z,Coastal Carolina,52,The Citadel,14
2021-09-02T23:00:00.000Z,Mississippi College,0,Albany State (GA),24
2021-09-02T23:00:00.000Z,Carson-Newman,7,West Georgia,45
2021-09-02T23:00:00.000Z,Seton Hill College,16,Wheeling Jesuit,14
2021-09-02T23:00:00.000Z,Ohio Dominican,30,Shepherd,35
2021-09-02T23:00:00.000Z,Millersville,9,American International,14
2021-09-02T23:00:00.000Z,Lincoln (MO),12,Washburn,76
2021-09-02T23:00:00.000Z,Minnesota State,40,Northern State,34
2021-09-02T23:00:00.000Z,Sioux Falls,16,Bemidji State,24
2021-09-02T23:00:00.000Z,Buffalo,69,Wagner,7
2021-09-02T23:00:00.000Z,Southwestern Oklahoma,13,Henderson State,31
2021-09-02T23:00:00.000Z,Northwestern Oklahoma State,13,Southern Arkansas,32
2021-09-02T23:00:00.000Z,Ouachita Baptist,38,Oklahoma Baptist,31
2021-09-02T23:00:00.000Z,Lindenwood,20,Angelo State,40
2021-09-02T23:05:00.000Z,East Stroudsburg,35,Pace,14
2021-09-02T23:30:00.000Z,Ferris State,54,Findlay,14
2021-09-02T23:30:00.000Z,Southeast Missouri State,21,Southern Illinois,47
2021-09-02T23:30:00.000Z,Chattanooga,20,Austin Peay,30
2021-09-02T23:30:00.000Z,Utah,40,Weber State,17
2021-09-02T23:30:00.000Z,Appalachian State,33,East Carolina,19
2021-09-02T23:30:00.000Z,Tulsa,17,UC Davis,19
2021-09-02T23:30:00.000Z,NC State,45,South Florida,0
2021-09-03T00:00:00.000Z,Western Kentucky,59,UT Martin,21
