start_date,home_team,home_points,away_team,away_points
2018-08-25T21:30:00.000Z,UMass,63,Duquesne,15
2018-08-25T23:00:00.000Z,Rice,31,Prairie View,28
2018-08-25T23:00:00.000Z,Jacksonville State,17,North Carolina A&T,20
2018-08-25T23:30:00.000Z,Colorado State,34,Hawai'i,43
2018-08-26T02:00:00.000Z,New Mexico State,7,Wyoming,29
2018-08-30T22:00:00.000Z,Wagner,40,Bowie State,23
2018-08-30T23:00:00.000Z,Connecticut,17,UCF,56
2018-08-30T23:00:00.000Z,Ball State,42,Central Connecticut,6
2018-08-30T23:00:00.000Z,Georgia State,24,Kennesaw State,20
2018-08-30T23:00:00.000Z,Eastern Kentucky,49,Morehead State,23
2018-08-30T23:00:00.000Z,Murray State,10,Southern Illinois,49
2018-08-30T23:00:00.000Z,Indiana State,49,Quincy,0
2018-08-30T23:00:00.000Z,Campbell,49,Chowan,26
2018-08-30T23:00:00.000Z,Maine,35,New Hampshire,7
2018-08-30T23:00:00.000Z,Delaware,19,Rhode Island,21
2018-08-30T23:00:00.000Z,Chattanooga,34,Tennessee Tech,10
2018-08-30T23:00:00.000Z,Minnesota,48,New Mexico State,10
2018-08-30T23:30:00.000Z,Samford,66,Shorter,9
2018-08-30T23:30:00.000Z,North Dakota,35,Mississippi Valley State,7
2018-08-31T00:00:00.000Z,Oklahoma State,58,Missouri State,17
2018-08-31T00:00:00.000Z,Louisiana Monroe,34,Southeastern Louisiana,31
2018-08-31T00:00:00.000Z,Purdue,27,Northwestern,31
2018-08-31T00:00:00.000Z,Utah,41,Weber State,10
2018-08-31T00:00:00.000Z,Tulane,17,Wake Forest,23
2018-08-31T00:00:00.000Z,UAB,52,Savannah State,0
2018-08-31T00:30:00.000Z,Texas A&M,59,Northwestern State,7
2018-08-31T01:00:00.000Z,Montana State,26,Western Illinois,23
2018-08-31T02:00:00.000Z,San José State,38,UC Davis,44
2018-08-31T22:00:00.000Z,Western Michigan,42,Syracuse,55
2018-08-31T22:30:00.000Z,Eastern Michigan,51,Monmouth,17
2018-08-31T23:00:00.000Z,Duke,34,Army,14
2018-08-31T23:00:00.000Z,Michigan State,38,Utah State,31
2018-09-01T00:35:00.000Z,Idaho State,45,Western State,10
2018-09-01T01:00:00.000Z,Stanford,31,San Diego State,10
2018-09-01T01:00:00.000Z,Wisconsin,34,Western Kentucky,3
2018-09-01T01:00:00.000Z,Nevada,72,Portland State,19
2018-09-01T01:30:00.000Z,Colorado State,13,Colorado,45
2018-09-01T16:00:00.000Z,NC State,24,James Madison,13
2018-09-01T16:00:00.000Z,Ohio State,77,Oregon State,31
2018-09-01T16:00:00.000Z,Texas Tech,27,Ole Miss,47
2018-09-01T16:00:00.000Z,Rice,27,Houston,45
2018-09-01T16:00:00.000Z,Illinois,31,Kent State,24
2018-09-01T16:00:00.000Z,South Carolina,49,Coastal Carolina,15
2018-09-01T16:00:00.000Z,Rutgers,35,Texas State,7
