start_date,home_team,home_points,away_team,away_points
2022-08-27T16:00:00.000Z,Western Kentucky,38,Austin Peay,27
2022-08-27T16:30:00.000Z,Northwestern,31,Nebraska,28
2022-08-27T19:00:00.000Z,Florida Memorial University,39,Edward Waters,34
2022-08-27T19:30:00.000Z,Jacksonville State,42,Stephen F. Austin,17
2022-08-27T19:30:00.000Z,UNLV,52,Idaho State,21
2022-08-27T20:00:00.000Z,Utah State,31,Connecticut,20
2022-08-27T20:00:00.000Z,Illinois,38,Wyoming,6
2022-08-27T21:00:00.000Z,Florida State,47,Duquesne,7
2022-08-27T23:00:00.000Z,Florida Atlantic,43,Charlotte,13
2022-08-27T23:00:00.000Z,Alabama State,23,Howard,13
2022-08-27T23:00:00.000Z,Mercer,63,Morehead State,13
2022-08-28T00:15:00.000Z,North Carolina,56,Florida A&M,24
2022-08-28T01:00:00.000Z,UTEP,13,North Texas,31
2022-08-28T02:00:00.000Z,New Mexico State,12,Nevada,23
2022-08-28T02:30:00.000Z,Hawai'i,10,Vanderbilt,63
2022-09-01T18:00:00.000Z,New Mexico Highlands,18,Eastern New Mexico,34
2022-09-01T21:30:00.000Z,Southern Connecticut State,7,Shepherd,48
2022-09-01T22:00:00.000Z,Saginaw Valley,72,WV Wesleyan,0
2022-09-01T22:00:00.000Z,Clarion,14,West Liberty,21
2022-09-01T22:00:00.000Z,Bluefield,35,Johnson C Smith,34
2022-09-01T22:00:00.000Z,Indiana State,17,North Alabama,14
2022-09-01T22:00:00.000Z,Akron,30,St Francis (PA),23
2022-09-01T22:00:00.000Z,Wagner,31,Fordham,48
2022-09-01T22:00:00.000Z,Tusculum,70,St. Augustine's,13
2022-09-01T22:00:00.000Z,Chowan,3,Barton College,17
2022-09-01T22:00:00.000Z,Michigan Tech,23,Wisconsin-Platteville,13
2022-09-01T22:00:00.000Z,Ashland,31,Notre Dame College,14
2022-09-01T22:00:00.000Z,Campbell,29,The Citadel,10
2022-09-01T22:30:00.000Z,California (PA),35,Fairmont State,15
2022-09-01T23:00:00.000Z,Stony Brook,14,Rhode Island,35
2022-09-01T23:00:00.000Z,UVA-Wise,41,Ferrum,9
2022-09-01T23:00:00.000Z,Minnesota St-Moorhead,14,Sioux Falls,27
2022-09-01T23:00:00.000Z,Frostburg State,21,American International,7
2022-09-01T23:00:00.000Z,Samford,27,Kennesaw State,17
2022-09-01T23:00:00.000Z,Furman,52,North Greenville,0
2022-09-01T23:00:00.000Z,Valdosta State,36,Keiser University,21
2022-09-01T23:00:00.000Z,Florida International,38,Bryant,37
2022-09-01T23:00:00.000Z,Toledo,37,Long Island University,0
2022-09-01T23:00:00.000Z,New Hampshire,31,Monmouth,21
2022-09-01T23:00:00.000Z,Tennessee,59,Ball State,10
2022-09-01T23:00:00.000Z,Pittsburgh,38,West Virginia,31
2022-09-01T23:00:00.000Z,Gannon,47,Charleston (WV),13
2022-09-01T23:00:00.000Z,Minnesota-Duluth,31,Southwest Minnesota State,21
2022-09-01T23:00:00.000Z,Bemidji State,34,Minnesota State,37
2022-09-01T23:00:00.000Z,Pace,31,East Stroudsburg,16
2022-09-01T23:00:00.000Z,Northern State,30,Upper Iowa,0
2022-09-01T23:00:00.000Z,UCF,56,South Carolina State,10
2022-09-01T23:00:00.000Z,St. Anselm,28,Millersville,10
2022-09-01T23:00:00.000Z,Virginia Union,77,Virginia Lynchburg,0
2022-09-01T23:00:00.000Z,Wheeling Jesuit,25,Seton Hill College,11
2022-09-01T23:00:00.000Z,Southern Arkansas,62,Northwestern Oklahoma State,31
2022-09-01T23:00:00.000Z,East Central,12,Harding,29
2022-09-01T23:00:00.000Z,Oklahoma Baptist,32,Ouachita Baptist,42
2022-09-01T23:00:00.000Z,Northern Michigan,24,McKendree,31
2022-09-01T23:00:00.000Z,Missouri S&T,20,South Dakota Mines,43
2022-09-01T23:00:00.000Z,Southeastern Oklahoma,41,Arkansas Tech,34
2022-09-01T23:00:00.000Z,Washburn,45,Lincoln (MO),3
2022-09-01T23:00:00.000Z,Grand Valley State,25,Colorado Mines,22
2022-09-01T23:00:00.000Z,Gardner-Webb,56,Limestone,21
2022-09-01T23:00:00.000Z,Oklahoma State,58,Central Michigan,44
2022-09-01T23:00:00.000Z,Quincy,15,Glenville State,44
2022-09-01T23:00:00.000Z,Lakeland University,20,Illinois College,38
2022-09-01T23:00:00.000Z,Millsaps,21,Belhaven College,49
2022-09-01T23:00:00.000Z,Trine,38,Anderson (IN),0
2022-09-01T23:00:00.000Z,Southern Nazarene,26,Arkansas-Monticello,40
2022-09-01T23:30:00.000Z,Wake Forest,44,VMI,10
2022-09-01T23:30:00.000Z,UT Martin,42,Western Illinois,25
2022-09-01T23:30:00.000Z,Concordia-St. Paul,14,Augustana (SD),28
2022-09-01T23:30:00.000Z,East Tennessee State,44,Mars Hill,7
2022-09-01T23:30:00.000Z,Ferris State,36,Central Washington,20
2022-09-02T00:00:00.000Z,UAB,59,Alabama A&M,0
2022-09-02T00:00:00.000Z,Missouri,52,Louisiana Tech,24
2022-09-02T00:00:00.000Z,Texas A&M-Commerce,52,Lincoln University (CA),7
2022-09-02T00:00:00.000Z,Weber State,41,Western Oregon,5
2022-09-02T00:00:00.000Z,Abilene Christian,28,Lamar,14
2022-09-02T00:00:00.000Z,Tarleton State,29,Mississippi Valley State,13
2022-09-02T00:00:00.000Z,Emporia State,42,Northeastern State,17
2022-09-02T00:00:00.000Z,Dickinson State,2,Black Hills State,17
2022-09-02T00:00:00.000Z,Northern Illinois,34,Eastern Illinois,27
2022-09-02T00:00:00.000Z,Northwest Missouri State,33,Fort Hays State,19
2022-09-02T00:00:00.000Z,Angelo State,35,Chadron State,0
2022-09-02T00:00:00.000Z,Missouri Western,35,Central Oklahoma,0
2022-09-02T00:00:00.000Z,Pittsburg State,21,Central Missouri State,10
2022-09-02T00:00:00.000Z,Purdue,31,Penn State,35
2022-09-02T00:00:00.000Z,Missouri Southern State,7,Nebraska-Kearney,24
2022-09-02T00:00:00.000Z,William Jewell College,14,Colorado Mesa,37
2022-09-02T00:00:00.000Z,Henderson State,30,Southwestern Oklahoma,13
2022-09-02T00:00:00.000Z,Central Arkansas,14,Missouri State,27
2022-09-02T00:00:00.000Z,Southern Utah,44,St. Thomas (MN),13
2022-09-02T01:00:00.000Z,Minnesota,38,New Mexico State,0
2022-09-02T02:00:00.000Z,Arizona State,40,Northern Arizona,3
2022-09-02T02:30:00.000Z,San José State,21,Portland State,17
2022-09-02T02:30:00.000Z,Fresno State,35,Cal Poly,7
2022-09-02T22:00:00.000Z,West Chester,17,Bentley,16
2022-09-02T22:00:00.000Z,Villanova,45,Lehigh,17
2022-09-02T22:00:00.000Z,Salisbury,49,Albright,0
2022-09-02T22:30:00.000Z,Curry,20,MIT,34
2022-09-02T23:00:00.000Z,Merrimack,17,Holy Cross,31
2022-09-02T23:00:00.000Z,Alvernia University,27,Ursinus,59
2022-09-02T23:00:00.000Z,Worcester State College,21,Worcester Polytechnic,58
2022-09-02T23:00:00.000Z,Hobart,36,Alfred,6
2022-09-02T23:00:00.000Z,Michigan State,35,Western Michigan,13
2022-09-02T23:00:00.000Z,Charlotte,24,William & Mary,41
2022-09-02T23:00:00.000Z,Westfield State,29,Nichols,30
2022-09-02T23:00:00.000Z,Eastern Michigan,42,Eastern Kentucky,34
2022-09-02T23:00:00.000Z,Franklin & Marshall,26,Lebanon Valley,7
2022-09-02T23:00:00.000Z,Merchant Marine,7,FDU-Florham,17
2022-09-02T23:00:00.000Z,Springfield,42,Western New England,14
2022-09-02T23:00:00.000Z,Old Dominion,20,Virginia Tech,17
2022-09-02T23:00:00.000Z,Carnegie Mellon,35,Whitworth,17
2022-09-02T23:00:00.000Z,Fitchburg State,33,Dean College,28
2022-09-02T23:30:00.000Z,Duke,30,Temple,0
2022-09-03T00:00:00.000Z,Kansas,56,Tennessee Tech,10
2022-09-03T00:00:00.000Z,Indiana,23,Illinois,20
2022-09-03T02:00:00.000Z,Colorado,13,TCU,38
2022-09-03T16:00:00.000Z,Albion,52,Carthage,0
2022-09-03T16:00:00.000Z,Greensboro,48,Guilford,37
2022-09-03T16:00:00.000Z,Charleston Southern,38,Western Carolina,52
2022-09-03T16:00:00.000Z,Texas A&M,31,Sam Houston State,0
2022-09-03T16:00:00.000Z,Connecticut,28,Central Connecticut,3
2022-09-03T16:00:00.000Z,Iowa,7,South Dakota State,3
2022-09-03T16:00:00.000Z,Michigan,51,Colorado State,7
2022-09-03T16:00:00.000Z,Appalachian State,61,North Carolina,63
2022-09-03T16:00:00.000Z,Assumption,3,Kutztown,0
2022-09-03T16:00:00.000Z,East Carolina,20,NC State,21
2022-09-03T16:00:00.000Z,Navy,7,Delaware,14
2022-09-03T16:00:00.000Z,Marietta,14,Dubuque,13
2022-09-03T16:00:00.000Z,Case Western Reserve,14,Johns Hopkins,54
2022-09-03T16:00:00.000Z,Wayland Baptist,14,Hardin-Simmons,79
2022-09-03T16:00:00.000Z,Morrisville State,10,Kean,0
2022-09-03T16:00:00.000Z,Plymouth State,20,Castleton State College,7
2022-09-03T16:00:00.000Z,SUNY Cortland,48,Wittenberg,28
2022-09-03T16:00:00.000Z,Salve Regina,7,Norwich,0
2022-09-03T16:00:00.000Z,Ohio Dominican,28,Findlay,14
2022-09-03T16:00:00.000Z,Robert Morris,20,Dayton,22
2022-09-03T16:00:00.000Z,Ohio Wesleyan,13,Otterbein,21
2022-09-03T16:00:00.000Z,Southwestern University,7,Cal Lutheran,37
2022-09-03T16:00:00.000Z,Maryland,31,Buffalo,10
2022-09-03T16:00:00.000Z,Bridgewater State,14,Ithaca,51
2022-09-03T16:00:00.000Z,Allegheny,27,Union,42
2022-09-03T16:00:00.000Z,College of New Jersey,31,Moravian,13
2022-09-03T16:00:00.000Z,Brockport State (NY),27,Framingham State,7
2022-09-03T16:00:00.000Z,Boston College,21,Rutgers,22
2022-09-03T16:00:00.000Z,Marist,12,Georgetown,43
2022-09-03T16:00:00.000Z,UMass Dartmouth,35,Husson,14
2022-09-03T16:00:00.000Z,Delaware Valley,22,Westminster PA,8
2022-09-03T16:30:00.000Z,Virginia,34,Richmond,17
2022-09-03T16:30:00.000Z,Lafayette,6,Sacred Heart,0
2022-09-03T17:00:00.000Z,WV State,29,Shippensburg,6
2022-09-03T17:00:00.000Z,Brevard College,6,Shorter,45
2022-09-03T17:00:00.000Z,St. Vincent,21,Stevenson,25
2022-09-03T17:00:00.000Z,Sewanee Univ. of the South,50,St. Scholastica,0
2022-09-03T17:00:00.000Z,DePauw,17,Rose-Hulman,14
2022-09-03T17:00:00.000Z,Luther,6,Presentation College,29
2022-09-03T17:00:00.000Z,Rensselaer,14,Dickinson,7
2022-09-03T17:00:00.000Z,Bethany (WV),26,Hiram,16
2022-09-03T17:00:00.000Z,Butler,31,St. Thomas University (Fl),26
2022-09-03T17:00:00.000Z,Keystone,21,Wilkes,48
2022-09-03T17:00:00.000Z,Air Force,48,Northern Iowa,17
2022-09-03T17:00:00.000Z,Hartwick,31,SUNY Maritime,10
2022-09-03T17:00:00.000Z,Kentucky State,10,Delta State,33
2022-09-03T17:00:00.000Z,Widener,20,Rowan,42
2022-09-03T17:00:00.000Z,Lycoming,16,Susquehanna,45
2022-09-03T17:00:00.000Z,Kalamazoo,21,Oberlin,14
2022-09-03T17:00:00.000Z,Rockford,41,Beloit College,14
2022-09-03T17:00:00.000Z,Ripon,13,St. Norbert,10
2022-09-03T17:00:00.000Z,Ohio Northern,13,Alma College,16
2022-09-03T17:00:00.000Z,Wabash College,52,Hampden-Sydney,48
2022-09-03T17:00:00.000Z,Grove City College,63,Juniata,6
