start_date,home_team,home_points,away_team,away_points
2020-08-30T01:00:00.000Z,Central Arkansas,24,Austin Peay,17
2020-09-04T00:00:00.000Z,UAB,45,Central Arkansas,35
2020-09-04T01:00:00.000Z,Southern Mississippi,21,South Alabama,32
2020-09-05T17:00:00.000Z,Marshall,59,Eastern Kentucky,0
2020-09-05T17:30:00.000Z,Army,42,Middle Tennessee,0
2020-09-05T20:30:00.000Z,Texas State,24,SMU,31
2020-09-05T23:30:00.000Z,North Texas,57,Houston Baptist,31
2020-09-06T00:00:00.000Z,Memphis,37,Arkansas State,24
2020-09-06T01:00:00.000Z,UTEP,24,Stephen F. Austin,14
2020-09-08T00:00:00.000Z,Navy,3,BYU,55
2020-12-21T19:30:00.000Z,North Texas,28,Appalachian State,56
2020-12-22T20:30:00.000Z,Nevada,38,Tulane,27
2020-12-23T00:00:00.000Z,BYU,49,UCF,23
2020-12-23T20:00:00.000Z,Georgia Southern,38,Louisiana Tech,3
2020-12-24T00:00:00.000Z,Florida Atlantic,10,Memphis,25
2020-12-24T20:30:00.000Z,Houston,14,Hawai'i,28
2020-12-25T19:30:00.000Z,Buffalo,17,Marshall,10
2020-12-26T20:30:00.000Z,Georgia State,39,Western Kentucky,21
2020-12-26T20:30:00.000Z,UT San Antonio,24,Louisiana,31
2020-12-27T00:30:00.000Z,Coastal Carolina,34,Liberty,37
2020-12-29T22:30:00.000Z,Miami,34,Oklahoma State,37
2020-12-30T02:00:00.000Z,Colorado,23,Texas,55
2020-12-30T17:00:00.000Z,Wisconsin,42,Wake Forest,28
2020-12-31T01:00:00.000Z,Oklahoma,55,Florida,20
2020-12-31T17:00:00.000Z,Mississippi State,28,Tulsa,26
2020-12-31T19:00:00.000Z,San José State,13,Ball State,34
2020-12-31T21:00:00.000Z,Army,21,West Virginia,24
2021-01-01T17:00:00.000Z,Georgia,24,Cincinnati,21
2021-01-01T18:00:00.000Z,Northwestern,35,Auburn,19
2021-01-01T21:00:00.000Z,Alabama,31,Notre Dame,14
2021-01-02T01:00:00.000Z,Clemson,28,Ohio State,49
2021-01-02T17:00:00.000Z,Kentucky,23,NC State,21
2021-01-02T17:30:00.000Z,Indiana,20,Ole Miss,26
2021-01-02T21:00:00.000Z,Iowa State,34,Oregon,17
2021-01-03T01:00:00.000Z,North Carolina,27,Texas A&M,41
2021-01-12T01:00:00.000Z,Alabama,52,Ohio State,24
2021-02-06T18:00:00.000Z,Trinity (TX),35,Austin College,24
2021-02-06T18:00:00.000Z,Millsaps,27,Hendrix College,37
2021-02-06T18:00:00.000Z,Belhaven College,0,Mary Hardin-Baylor,41
2021-02-06T19:00:00.000Z,Southwestern University,17,East Texas Baptist,28
2021-02-06T19:00:00.000Z,Howard Payne,38,Texas Lutheran,39
2021-02-06T19:00:00.000Z,McMurry,17,Sul Ross State,14
2021-02-06T20:00:00.000Z,Puget Sound,28,Pacific Lutheran,20
2021-02-07T00:00:00.000Z,Rhodes,0,Birmingham-Southern,52
2021-02-20T17:00:00.000Z,James Madison,52,Morehead State,0
2021-05-01T19:00:00.000Z,Alabama A&M,40,Arkansas-Pine Bluff,33
2020-09-11T00:00:00.000Z,Miami,31,UAB,14
